trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
42,1.068715,-1.109588,1.165067,8,-1222,1.102847,6,1.947900,536.870000,-71.212000,7.539000,0.950000
43,0.926910,-1.000712,1.050748,9,-969,0.898991,6,1.947900,451.750000,-65.760000,6.870000,0.950000
44,0.953293,-0.883011,0.983430,5,-785,0.885069,4,1.947900,467.930000,-66.840000,7.001000,0.950000
45,0.965499,-0.954201,1.045166,5,-1358,1.319748,5,1.947900,475.380000,-67.330000,7.061000,0.950000
46,0.965672,-1.000524,1.093522,7,-1242,1.015916,6,1.947900,475.490000,-67.337000,7.061000,0.950000
47,0.957631,-1.059763,1.112751,7,-1287,0.698625,5,1.947900,470.580000,-67.015000,7.022000,0.950000
48,0.919019,-1.057038,1.109889,9,-709,1.353433,6,1.947900,446.890000,-65.430000,6.830000,0.950000
49,1.018736,-1.073939,1.127636,9,-802,1.061340,3,1.947900,507.490000,-69.388000,7.314000,0.950000
50,1.023233,-0.892374,1.009290,6,-972,1.007924,6,1.947900,510.170000,-69.556000,7.335000,0.950000
51,1.059849,-0.987670,1.037053,9,-695,0.686746,3,1.947900,531.720000,-70.896000,7.500000,0.950000
52,1.031573,-0.965827,1.071473,7,-866,1.305506,6,1.947900,515.110000,-69.866000,7.373000,0.950000
53,0.954107,-0.949665,0.997148,5,-718,1.335413,5,1.947900,468.430000,-66.873000,7.005000,0.950000
54,0.976664,-1.058217,1.111127,9,-1223,0.973661,5,1.947900,482.170000,-67.772000,7.115000,0.950000
55,1.097326,-1.054675,1.124005,5,-1279,1.098563,3,1.947900,553.270000,-72.211000,7.662000,0.950000
56,1.017652,-1.045271,1.097534,5,-1259,0.827924,5,1.947900,506.840000,-69.347000,7.309000,0.950000
57,0.988463,-0.931172,1.114277,8,-688,1.383651,7,1.947900,489.320000,-68.233000,7.171000,0.950000
58,0.956782,-1.090058,1.144561,10,-1131,1.108899,3,1.938000,457.230000,-64.821000,7.054000,1.005100
59,1.079407,-0.850113,0.913026,5,-1220,0.750978,7,1.947900,543.040000,-71.589000,7.586000,0.950000
60,1.031254,-0.852240,0.894852,5,-1084,1.228774,4,1.947900,514.930000,-69.855000,7.371000,0.950000
61,1.069882,-0.858498,1.079386,9,-1216,1.146912,6,1.947900,537.550000,-71.253000,7.544000,0.950000
62,0.908030,-0.901429,0.946501,5,-1195,1.092969,6,1.947900,440.110000,-64.967000,6.774000,0.950000
63,0.931043,-1.059682,1.112667,5,-1167,1.370322,5,1.947900,454.290000,-65.931000,6.890000,0.950000
64,0.910900,-1.024544,1.075771,9,-1166,0.731117,3,1.947900,441.880000,-65.088000,6.789000,0.950000
